"","x"
"1","Acvr1"
"2","Apc"
"3","Nr2f2"
"4","Ar"
"5","Rhoa"
"6","Arx"
"7","Atoh1"
"8","Neurod4"
"9","Neurog2"
"10","Bcl2"
"11","Prdm1"
"12","Bmp2"
"13","Bmp4"
"14","Bmpr1a"
"15","Casp3"
"16","Ctnnb1"
"17","Runx2"
"18","Runx1"
"19","Cdc42"
"20","Chrd"
"21","Vsx2"
"22","Ctsl"
"23","Dbx1"
"24","Dhh"
"25","Dkk1"
"26","Dll1"
"27","Dll3"
"28","Dlx1"
"29","Dlx2"
"30","Ebf2"
"31","Edn1"
"32","Ednra"
"33","Elf5"
"34","Eomes"
"35","Epas1"
"36","Erbb4"
"37","Etv2"
"38","Ext1"
"39","Eya1"
"40","Fgf10"
"41","Fgf13"
"42","Fgf2"
"43","Fgf8"
"44","Fgfr1"
"45","Fgfr2"
"46","Fgfr3"
"47","Fkbp8"
"48","Foxc2"
"49","Fzd7"
"50","Gap43"
"51","Gas1"
"52","Gata1"
"53","Gata2"
"54","Gata3"
"55","Gata4"
"56","Gata5"
"57","Gata6"
"58","Gcm1"
"59","Gdf3"
"60","Gfi1"
"61","Gli2"
"62","Gli3"
"63","Pdpn"
"64","Gsc"
"65","Gsx1"
"66","Gsx2"
"67","Nkx6-2"
"68","Hand1"
"69","Hdac2"
"70","Hes1"
"71","Hes5"
"72","Hey2"
"73","Foxn1"
"74","Foxg1"
"75","Mnx1"
"76","Foxa1"
"77","Foxa2"
"78","Onecut1"
"79","Hoxa11"
"80","Hoxa13"
"81","Hoxa2"
"82","Hoxd10"
"83","Id2"
"84","Ihh"
"85","Il4"
"86","Il6"
"87","Il6ra"
"88","Il7"
"89","Irf4"
"90","Isl1"
"91","Itgb1"
"92","Jag2"
"93","Kdr"
"94","Lats1"
"95","Arhgef2"
"96","Lbx1"
"97","Lhx3"
"98","Lhx6"
"99","Lmo4"
"100","Loxl3"
"101","Ly9"
"102","Smad1"
"103","Smad2"
"104","Smad4"
"105","Smad5"
"106","Ascl1"
"107","Mbd3"
"108","Mef2c"
"109","Men1"
"110","Mesp1"
"111","Mitf"
"112","Myl2"
"113","Myod1"
"114","Myt1l"
"115","Neurod1"
"116","Neurog1"
"117","Nfe2l1"
"118","Nfia"
"119","Nfib"
"120","Nfix"
"121","Nkx2-2"
"122","Nkx2-5"
"123","Nodal"
"124","Notch1"
"125","Notch2"
"126","Notch3"
"127","Ntf3"
"128","Ntrk3"
"129","Otx2"
"130","Pax2"
"131","Pax3"
"132","Pax6"
"133","Pax7"
"134","Pou1f1"
"135","Pitx1"
"136","Pml"
"137","Prrx1"
"138","Pou3f2"
"139","Pou4f1"
"140","Pou5f1"
"141","Pparg"
"142","Prkdc"
"143","Prox1"
"144","Psen1"
"145","Psen2"
"146","Ptch1"
"147","Ptch2"
"148","Ptf1a"
"149","Rab10"
"150","Rag2"
"151","Rara"
"152","Rbbp4"
"153","Rbpj"
"154","Sfrp2"
"155","Foxp3"
"156","Sfrp1"
"157","Shh"
"158","Six1"
"159","Six2"
"160","Smarca4"
"161","Sox1"
"162","Sox12"
"163","Sox13"
"164","Sox17"
"165","Sox18"
"166","Sox2"
"167","Sox5"
"168","Sox6"
"169","Sox8"
"170","Sox9"
"171","Spn"
"172","Stat3"
"173","Stat6"
"174","Wnt8a"
"175","T"
"176","Tal1"
"177","Tbr1"
"178","Tbx1"
"179","Tbx15"
"180","Tbx2"
"181","Tbx3"
"182","Tbx4"
"183","Tbx5"
"184","Tbx6"
"185","Hnf1b"
"186","Tcf7l2"
"187","Tfap2c"
"188","Tcf3"
"189","Tcra"
"190","Tead3"
"191","Tead4"
"192","Tgfb1"
"193","Tgfb1i1"
"194","Tgfb2"
"195","Tgfbr1"
"196","Nkx2-1"
"197","Nr2e1"
"198","Tlx1"
"199","Trp53"
"200","Ctr9"
"201","Wnt1"
"202","Wnt10a"
"203","Wnt10b"
"204","Wnt11"
"205","Wnt9b"
"206","Wnt2"
"207","Wnt2b"
"208","Wnt3"
"209","Wnt3a"
"210","Wnt4"
"211","Wnt5a"
"212","Wnt5b"
"213","Wnt6"
"214","Wnt7a"
"215","Wnt7b"
"216","Wnt8b"
"217","Wt1"
"218","Apc2"
"219","Ets2"
"220","Mta2"
"221","Tenm4"
"222","Spry2"
"223","Sufu"
"224","Ror2"
"225","Tlx3"
"226","Mga"
"227","Spdef"
"228","Slamf6"
"229","Lats2"
"230","Olig2"
"231","Olig1"
"232","Batf"
"233","Dll4"
"234","Paf1"
"235","Otud5"
"236","Fezf2"
"237","Mtor"
"238","Tbx20"
"239","Tbx21"
"240","Cdon"
"241","Bcl11b"
"242","Sostdc1"
"243","Dock7"
"244","Tm2d3"
"245","Casz1"
"246","Tunar"
"247","Nanog"
"248","Zfp157"
"249","Prdm4"
"250","Cyld"
"251","Nkx6-3"
"252","Slamf8"
"253","Rtf1"
"254","Tbx18"
"255","Ntf5"
"256","Il23a"
"257","Chrdl1"
"258","Tbx19"
"259","Wnt16"
"260","Olig3"
"261","Epop"
"262","Isl2"
"263","Barhl2"
"264","Chd4"
"265","Tbx10"
"266","Braf"
"267","Ehmt2"
"268","Prdm15"
"269","Foxn4"
"270","Mta1"
"271","Mta3"
"272","Esrp1"
"273","Hoxc10"
"274","Nrg1"
"275","Cdc73"
"276","Wnt9a"
"277","Chd3"
"278","Kdm6b"
"279","Zfp521"
"280","Onecut2"
"281","Gatad2b"
"282","Glis1"
"283","Gbx1"
"284","Cyp26b1"
"285","Gatad2a"
"286","Leo1"
"287","Gdf7"
"288","Dmrt3"
"289","Tnfsf18"
"290","Dmrta2"
"291","Scart2"
"292","AW551984"
"293","Tbx22"
"294","Rbbp7"
"295","Tox"
"296","Fev"
"297","Sh3pxd2b"
"298","Smo"
"299","Prdm14"
"300","Hdac1"
"301","Bvht"
"302","Mir450b"
"303","Myoparr"
